repeat,requested_budget,budget,learner,error_distance_spearman,distance_mean,distance_q25,distance_q75
0,15,15,random-forest-sensitivity,0.30133669950183706,9.64276938540645,1.836191670356996,11.163256604236212
1,15,15,random-forest-sensitivity,0.050334738408132906,10.392419108752456,4.051054430815207,11.36517287578575
2,15,15,random-forest-sensitivity,-0.4856073755156324,11.507034829889692,6.137941758370268,11.802972674942994
3,15,15,random-forest-sensitivity,0.07111782341140138,10.200535939109518,4.006612958349452,11.256258497981948
4,15,15,random-forest-sensitivity,-0.3355003043076437,11.651739768623179,6.465615399980537,11.737494853996282
5,15,15,random-forest-sensitivity,0.07703266235376327,10.529842739756848,3.592689342416646,11.533316307168512
6,15,15,random-forest-sensitivity,-0.14947625155291577,10.089024179364525,3.897207858307002,10.863714474178797
7,15,15,random-forest-sensitivity,0.08323170937899418,10.688444478948856,4.9128971114102775,11.083056890099456
8,15,15,random-forest-sensitivity,0.5401393052769199,9.992975386304327,1.954127229482515,10.808801391505
9,15,15,random-forest-sensitivity,-0.19624506062548028,10.17235446310543,2.1102419700217507,11.128697182988404
10,15,15,random-forest-sensitivity,-0.11621422404786654,10.88455625937753,5.450439931648318,8.624177975791202
11,15,15,random-forest-sensitivity,0.1258841827649167,10.556931518289558,2.4134574959070596,11.21892793196368
12,15,15,random-forest-sensitivity,-0.20043279309334355,11.468398870827455,6.035229832573855,11.354188755549842
13,15,15,random-forest-sensitivity,-0.0960394923697676,10.91215990829611,5.361033899068154,11.345102694488425
14,15,15,random-forest-sensitivity,0.33374208236593556,10.408677705320205,4.5416912315364595,10.979095013590037
15,15,15,random-forest-sensitivity,-0.2455875391655208,10.68674284469148,4.117412391027293,11.591424771753914
16,15,15,random-forest-sensitivity,0.19741225796271666,10.72752730361891,4.756998421212377,11.161222830055536
17,15,15,random-forest-sensitivity,0.25050154407952574,10.611404490508837,4.507278058431882,11.088195497218907
18,15,15,random-forest-sensitivity,-0.022329418659693887,9.154826368324066,2.0780563431752297,9.096728811254989
19,15,15,random-forest-sensitivity,-0.09554358361697811,9.89502586383187,3.150106778916369,9.788987291568162
20,15,15,random-forest-sensitivity,0.15497148524671459,11.335703847510644,5.542674040614852,11.466835736764178
21,15,15,random-forest-sensitivity,-0.014169465545612334,9.462576869261142,1.7987011701862659,9.93533144507212
22,15,15,random-forest-sensitivity,-0.14269999774586928,10.000289772672687,4.154049568374095,7.7499332009661375
23,15,15,random-forest-sensitivity,0.15811825169623336,9.887509167064724,2.1102419700217507,10.856429038412061
24,15,15,random-forest-sensitivity,0.2251520978120316,10.59882006610473,4.689353598471524,10.082911031409717
25,15,15,random-forest-sensitivity,0.11549714852467145,9.471545954865615,3.1218888826838054,9.76864612086106
26,15,15,random-forest-sensitivity,0.09551653404864414,9.727389633764396,1.770741408765956,11.136732305645745
27,15,15,random-forest-sensitivity,-0.08814572536984586,11.669167774447457,5.277914691197411,11.796667978483175
28,15,15,random-forest-sensitivity,-0.2970358181367356,11.857132305070882,6.537904522819343,11.699147407615785
29,15,15,random-forest-sensitivity,-0.29705385118229155,10.92924646487746,5.644961864950337,9.363516383161631
30,15,15,random-forest-sensitivity,0.10789195476427736,10.002055087560327,3.8741652333906096,10.863714474178797
31,15,15,random-forest-sensitivity,0.28509794197867594,10.608405122366028,4.868147978868139,10.976203795536401
32,15,15,random-forest-sensitivity,-0.09165746229966412,10.377281007490529,4.052809631341902,11.123195040243232
33,15,15,random-forest-sensitivity,-0.5684331537542546,10.73653860293282,5.355077588352968,10.73896376236856
34,15,15,random-forest-sensitivity,-0.052138042963731035,10.567028074457992,4.713944670258702,11.083056890099456
35,15,15,random-forest-sensitivity,0.08999411670585429,10.042531860009616,3.881291264254859,11.119923493160293
36,15,15,random-forest-sensitivity,-0.17498856026138332,10.229210161555024,3.770216107296864,10.864929355303905
37,15,15,random-forest-sensitivity,-0.38376575073822783,11.00845140131598,4.921724469967668,11.48684370393584
38,15,15,random-forest-sensitivity,0.0408673894912427,10.96322950316298,4.992601525326391,10.785320871404508
39,15,15,random-forest-sensitivity,-0.03299596510605685,10.581252177961497,5.33330923579901,10.924210799229803
40,15,15,random-forest-sensitivity,0.032076279782701805,10.3335411430382,4.130982148860211,11.230656851852178
41,15,15,random-forest-sensitivity,0.0037508819306317385,10.390602300477154,4.342445129825043,9.24213939454516
42,15,15,random-forest-sensitivity,-0.2174830376665239,10.476003885986442,4.86902004486207,10.67396061153137
43,15,15,random-forest-sensitivity,0.15095496462172253,10.518338439890769,4.410520051918948,10.335843552419401
44,15,15,random-forest-sensitivity,-0.038027184816175646,10.905881216695716,4.829288292160401,11.841600038487123
45,15,15,random-forest-sensitivity,-0.3909338863467304,11.497720231953878,5.693780222748994,11.29984562314896
46,15,15,random-forest-sensitivity,0.022221220386357998,10.079209046457262,2.153257540471146,11.207306840591214
